10進表記,ID,優先度,R/W,define,data,,実装状況
0,0x00,00,W,SET_VELOCITY,float,,
1,0x01,,,SET_TORQUE,float,,
2,0x02,,,SET_DUTY,float,,
3,0x03,,,,,,
4,0x04,,,SET_MODE,,,未実装
5,0x05,,,,,,
6,0x06,,,,,,
7,0x07,,,,,,
8,0x08,,,,,,
9,0x09,,,,,,
10,0x0A,,,,,,
11,0x0B,,,,,,
12,0x0C,,,,,,
13,0x0D,,,,,,
14,0x0E,,,,,,
15,0x0F,,,,,,
16,0x10,,R,,,,
17,0x11,,,,,,
18,0x12,,,,,,
19,0x13,,,,,,
20,0x14,,,GET_MODE,,,未実装
21,0x15,,,,,,
22,0x16,,,,,,
23,0x17,,,,,,
24,0x18,,,,,,
25,0x19,,,,,,
26,0x1A,,,,,,
27,0x1B,,,,,,
28,0x1C,,,,,,
29,0x1D,,,,,,
30,0x1E,,,,,,
31,0x1F,,,,,,
32,0x20,01,W,,,,
33,0x21,,,,,,
34,0x22,,,,,,
35,0x23,,,,,,
36,0x24,,,,,,
37,0x25,,,,,,
38,0x26,,,,,,
39,0x27,,,,,,
40,0x28,,,,,,
41,0x29,,,,,,
42,0x2A,,,,,,
43,0x2B,,,,,,
44,0x2C,,,,,,
45,0x2D,,,,,,
46,0x2E,,,,,,
47,0x2F,,,,,,
48,0x30,,R,,,,
49,0x31,,,,,,
50,0x32,,,,,,
51,0x33,,,,,,
52,0x34,,,,,,
53,0x35,,,,,,
54,0x36,,,,,,
55,0x37,,,,,,
56,0x38,,,,,,
57,0x39,,,,,,
58,0x3A,,,,,,
59,0x3B,,,,,,
60,0x3C,,,,,,
61,0x3D,,,,,,
62,0x3E,,,,,,
63,0x3F,,,,,,
64,0x40,10,W,,,,
65,0x41,,,,,,
66,0x42,,,,,,
67,0x43,,,,,,
68,0x44,,,BEGIN,別シート,,
69,0x45,,,SET_VCC,float,,
70,0x46,,,SET_PPR,float,,
71,0x47,,,SET_KT,float,,
72,0x48,,,SET_VGAIN_K,float,,
73,0x49,,,SET_VGAIN_TI,float,,
74,0x4A,,,SET_VGAIN_TD,float,,
75,0x4B,,,,,,
76,0x4C,,,SET_CGAIN_K,float,,
77,0x4D,,,SET_CGAIN_TI,float,,
78,0x4E,,,SET_CGAIN_TD,float,,
79,0x4F,,,,,,
80,0x50,,R,,,,
81,0x51,,,,,,
82,0x52,,,,,,
83,0x53,,,,,,
84,0x54,,,,,,
85,0x55,,,,,,
86,0x56,,,,,,
87,0x57,,,,,,
88,0x58,,,,,,
89,0x59,,,,,,
90,0x5A,,,,,,
91,0x5B,,,,,,
92,0x5C,,,,,,
93,0x5D,,,,,,
94,0x5E,,,,,,
95,0x5F,,,,,,
96,0x60,11,W,,,,
97,0x61,,,,,,
98,0x62,,,,,,
99,0x63,,,,,,
100,0x64,,,,,,
101,0x65,,,,,,
102,0x66,,,,,,
103,0x67,,,,,,
104,0x68,,,,,,
105,0x69,,,,,,
106,0x6A,,,,,,
107,0x6B,,,,,,
108,0x6C,,,,,,
109,0x6D,,,,,,
110,0x6E,,,,,,
111,0x6F,,,,,,
112,0x70,,R,GET_VELOCITY,,,
113,0x71,,,GET_TORQUE,,,
114,0x72,,,GET_DUTY,,,
115,0x73,,,GET_CURRENT,,,
116,0x74,,,GET_STATE,,,
117,0x75,,,,,,
118,0x76,,,,,,
119,0x77,,,,,,
120,0x78,,,GET_V_P,,,
121,0x79,,,GET_V_I,,,
122,0x7A,,,GET_V_D,,,
123,0x7B,,,,,,
124,0x7C,,,GET_C_P,,,
125,0x7D,,,GET_C_I,,,
126,0x7E,,,GET_C_D,,,
127,0x7F,,,,,,
